Commodity,PBARL,PMAIZMT,PRICENPQ,PSOYB,PWHEAMT,,
Name,"Barley, Canadian no.1 Western Barley, spot price, US$ per metric ton","Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric ton","Rice, 5 percent broken milled white rice, Thailand nominal price quote, US$ per metric ton","Soybeans, U.S. soybeans, Chicago Soybean futures contract (first contract forward) No. 2 yellow and par, US$ per metric ton","Wheat, No.1 Hard Red Winter, ordinary protein, Kansas City, US$ per metric ton",,
Data Type,USD,USD,USD,USD,USD,,Avg
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,,monthly
1993M7,74.03,101.89,210,258.84,127.52,,154.46
1993M8,69.69,100.31,210,246.64,129.8,,151.29
1993M9,64.41,101.03,206,236.06,131.29,,147.76
1993M10,60.95,105.77,257,226.09,135.96,,157.15
1993M11,63.85,115.93,323,243.93,146.5,,178.64
1993M12,68.31,121.23,315,252.52,158.65,,183.14
1994M1,74.62,126.72,354,255.6,153.21,,192.83
1994M2,72.29,123.65,363,249.68,147.04,,191.13
1994M3,68.29,120.11,274,250.55,141.04,,170.8
1994M4,66.89,113.42,269,242.76,140.45,,166.51
1994M5,68.55,110.6,235,250.23,140.15,,160.91
1994M6,67.78,112.08,216,249.61,139.3,,156.96
1994M7,64.32,98.73,226,223.24,137.6,,149.98
1994M8,66.16,96.16,250,214.1,146.02,,154.49
1994M9,72.27,97.61,259.75,207.88,158.79,,159.26
1994M10,80.14,96.11,261.75,198.71,167.19,,160.78
1994M11,83.98,95.61,264.5,205.39,161.99,,162.29
1994M12,86.49,102.56,260.5,206.38,164.62,,164.11
1995M1,85.45,106.9,274.75,202.5,156.21,,165.16
1995M2,85.77,106.98,286.25,203.65,154.42,,167.41
1995M3,90.83,109.63,283,209.35,150.39,,168.64
1995M4,93.4,109.64,281.5,211.27,148.98,,168.96
1995M5,100.79,111.93,287.75,211.64,158.61,,174.15
1995M6,105.77,120.01,326,216.65,169.98,,187.68
1995M7,112.97,127.31,345.6,226.92,190.09,,200.58
1995M8,104.87,126.3,340.67,218.92,184.39,,195.03
1995M9,104.82,130.51,359.75,232.59,193.67,,204.27
1995M10,112.7,140.82,382.6,240.99,203.79,,216.18
1995M11,125.76,143.21,340.5,249.74,204.07,,212.66
1995M12,125,148.19,341.25,263.96,208.92,,217.47
1996M1,124.93,156.67,364.4,270.12,196.43,,222.51
1996M2,123.31,164.71,367,268.26,206.17,,225.89
1996M3,124.47,170.96,362.5,265.78,205.26,,225.79
1996M4,132.69,189.03,325.8,290.42,239.52,,235.49
1996M5,137.79,204,332.25,295.52,248.59,,243.63
1996M6,138.14,196.64,341.5,284.61,215.23,,235.22
1996M7,133.09,197.62,358,288.77,196.39,,234.77
1996M8,115.01,186.82,335.5,296.3,181.5,,223.02
1996M9,103.4,145.24,328.4,297.49,170.98,,209.1
1996M10,102.41,128.61,312.75,259.8,169.6,,194.63
1996M11,99.99,117.14,315,255.28,169.27,,191.34
1996M12,100.76,116.84,313.67,257.16,167.83,,191.25
1997M1,98.97,118.7,356,268.1,167.79,,201.91
1997M2,97.73,121.75,347,280.54,164.17,,202.24
1997M3,99.75,127.86,323.4,305.88,167.71,,204.92
1997M4,97.87,124.71,299.33,313.36,175.57,,202.17
1997M5,100.07,118.61,324.5,319.84,168.4,,206.28
1997M6,94.94,112.58,323.2,304.77,141.2,,195.34
1997M7,91.66,106.42,320,281.16,130.41,,185.93
1997M8,91.3,111.95,285,267.59,139.35,,179.04
1997M9,92.51,112.24,270.2,255.21,138.24,,173.68
1997M10,102.71,120.24,265.75,250.75,136.21,,175.13
1997M11,102.27,117.4,251.75,265.43,135.38,,174.45
1997M12,97.08,113.6,263.5,254.59,129.73,,171.7
1998M1,95.77,114.37,293.5,246,127.35,,175.4
1998M2,91.49,113.62,297,247.42,128.31,,175.57
1998M3,93.04,113.84,295,240.12,128.24,,174.05
1998M4,91.85,106.69,311,235.09,118.2,,172.57
1998M5,93.01,105.97,318.5,236.15,118.35,,174.39
1998M6,91.57,101.75,331,231.12,112.37,,173.56
1998M7,85.2,100.9,323,232.43,106.62,,169.63
1998M8,73.2,88.36,323,202.25,97,,156.76
1998M9,73.12,85.71,322,193.34,97.57,,154.35
1998M10,74.74,95.49,298.25,200.76,112.16,,156.28
1998M11,79.26,97.38,270.33,209.9,115.61,,154.5
1998M12,78.39,95.32,282.5,204.91,111.8,,154.59
1999M1,77.71,97.45,301.67,195.04,111.89,,156.75
1999M2,75.31,94.56,280,179.67,104.28,,146.76
1999M3,75.2,96.43,256.2,175.06,104.58,,141.49
1999M4,79.73,94.04,235.5,177.54,102.33,,137.83
1999M5,81.53,92.72,244.25,171.45,99.61,,137.91
1999M6,80.54,92.95,254.75,170,99.94,,139.64
1999M7,76.86,83.6,255.75,158.31,93.01,,133.51
1999M8,75.15,86.38,251,172,98.02,,136.51
1999M9,71.44,87.12,233,180.64,94.8,,133.4
1999M10,72.29,85.65,217,178.18,88.55,,128.34
1999M11,73.14,85.41,227.5,171.2,91.68,,129.78
1999M12,72.36,87.22,231,169.96,90.44,,130.19
2000M1,73.13,92.95,247.5,180.38,93.62,,137.52
2000M2,73.36,95.08,243,185.76,98.17,,139.07
2000M3,74.4,95.17,228.8,190.97,96.4,,137.15
2000M4,76.95,95.54,217,197.1,94.43,,136.21
2000M5,78.26,95.53,198.78,200.87,99.11,,134.51
2000M6,78.48,84.04,197.86,186.95,103.37,,130.14
2000M7,78.68,75.06,191,169.5,97.13,,122.27
2000M8,75.13,75.24,187.09,167.87,96.65,,120.4
2000M9,73.21,80.15,178.14,180.45,103.44,,123.08
2000M10,76.15,84.71,186.73,173.61,107.78,,125.79
2000M11,82.46,88.94,184.86,177.19,105.04,,127.7
2000M12,86.6,96.22,183.57,185.96,113.74,,133.22
2001M1,85.75,94.3,184.43,175.42,109.48,,129.88
2001M2,82.31,92.38,185.1,167.45,103.32,,126.11
2001M3,83.07,91.01,177.09,164.38,105.57,,124.22
2001M4,84.72,87.55,162.1,158.61,106.15,,119.82
2001M5,89.73,85.08,164.26,163.87,110.77,,122.74
2001M6,95.06,83.16,167.76,170.23,109.43,,125.13
2001M7,101.98,90.75,169.73,186.65,108.34,,131.49
2001M8,99.39,92.88,168.74,182.75,104.22,,129.6
2001M9,99.61,89.74,173,172.35,103.18,,127.57
2001M10,101.79,86.27,170.87,160.63,104.83,,124.88
2001M11,100.97,89.88,170,162.56,106.8,,126.04
2001M12,102.86,92.31,179.38,160.15,104.37,,127.81
2002M1,99.27,91.97,191.13,160.06,106.19,,129.72
2002M2,99.01,90.73,194.35,160.2,103.84,,129.62
2002M3,98.95,89.86,189.29,168.69,102.55,,129.87
2002M4,95.82,87.11,189.5,171.36,104.8,,129.72
2002M5,97.55,90.33,198.3,176.64,104.1,,133.38
2002M6,104.11,93.17,202,185.37,115.41,,140.01
2002M7,114.23,99.7,199.61,209.09,132.64,,151.05
2002M8,120.99,109.89,191.32,208.22,149.61,,156.01
2002M9,119.75,113.94,188.48,208.22,173.34,,160.75
2002M10,120.61,109.65,185.48,200.09,180.04,,159.17
2002M11,120.13,108.65,187.19,210.22,164.28,,158.09
2002M12,117.19,107.01,185.27,208.24,149.2,,153.38
2003M1,113.7,105.84,199.74,208.67,140.48,,153.69
2003M2,114.15,106.14,198.75,209.61,141.66,,154.06
2003M3,113.65,105.13,196.95,210.22,129.25,,151.04
2003M4,114.59,105.34,195.18,221.71,126.05,,152.57
2003M5,115.5,107.91,197.73,232.41,131.05,,156.92
2003M6,111.48,107.03,203.67,229.77,118.16,,154.02
2003M7,96.62,97.67,199.48,214.03,115.78,,144.72
2003M8,88.07,100.35,196.43,208.22,133.48,,145.31
2003M9,90.63,103.24,202.86,231.7,130.65,,151.82
2003M10,95.7,104.21,204,268.99,130.06,,160.59
2003M11,101.75,108.1,201.75,279.72,141.35,,166.53
2003M12,100.77,111.99,197,283.19,145.07,,167.6
2004M1,98.55,116.25,207.45,300.9,147.29,,174.09
2004M2,95.57,122.93,213.25,316.55,141.73,,178.01
2004M3,103.03,128.46,240.35,360.68,142.55,,195.01
2004M4,112.53,133.44,253.41,363.5,146.06,,201.79
2004M5,111.56,129.29,251.57,347.87,143.18,,196.69
2004M6,114.05,123.28,244.23,320.23,136.86,,187.73
2004M7,103.97,104.49,240.32,289.79,132.39,,174.19
2004M8,87.77,104.09,252.55,225.79,122.06,,158.45
2004M9,85.37,97.73,252,206.45,126.82,,153.67
2004M10,87.89,93.42,253.52,193.43,123.06,,150.26
2004M11,95.53,93.76,262.32,195.82,127.13,,154.91
2004M12,92.04,95.61,278.43,198.59,123.55,,157.65
2005M1,90.71,96.04,288.38,195.66,122.78,,158.72
2005M2,87.38,94.36,292.35,197.59,123.13,,158.96
2005M3,94.17,100.01,295,233.18,129.96,,170.46
2005M4,93.33,96.47,299.14,228.76,120.06,,167.55
2005M5,88.89,95.36,295.27,233.46,119.15,,166.43
2005M6,93.44,97.62,287.05,254.74,122.47,,171.06
2005M7,96.81,105.66,278.71,253.35,130.16,,172.94
2005M8,98,99.29,283.48,230.43,131.56,,168.55
2005M9,97.89,97.07,287.41,212.02,137.39,,166.35
2005M10,98.53,101.55,290.71,211.17,143.07,,169.01
2005M11,98.76,95.98,278.95,210.9,136.35,,164.19
2005M12,103.01,102.68,277.27,216.54,139.99,,167.9
2006M1,103.6,102.79,284.45,214.01,144.57,,169.88
2006M2,101.13,106.94,296.4,214.37,158.89,,175.54
2006M3,100.38,104.95,297.74,212.71,155.79,,174.31
2006M4,102.12,107.91,298.5,208.9,161.21,,175.73
2006M5,107.48,110.62,301.26,217.36,176.6,,182.66
2006M6,106.88,109.61,305.59,216.5,176.92,,183.1
2006M7,112.1,114.31,312.43,217.25,181.35,,187.49
2006M8,114.53,115.28,313.39,203.84,165.13,,182.43
2006M9,115.44,120.27,312.9,199.31,164.94,,182.57
2006M10,136.6,142.26,309.64,217.89,182.43,,197.76
2006M11,148.15,164.11,300.59,244,182.3,,207.83
2006M12,150.97,160.72,309.29,243.31,179.53,,208.76
2007M1,152.13,165.16,313.48,255.87,172.57,,211.84
2007M2,151.03,177.38,316.05,278.04,175.27,,219.55
2007M3,157.06,169.58,326.18,276.96,173.31,,220.62
2007M4,157.12,152.63,322.29,270.39,178.56,,216.2
2007M5,161.69,160.14,320.61,283.21,178.01,,220.73
2007M6,184.45,164.54,326.29,302.83,206.52,,236.92
2007M7,177.91,147.22,332.55,313.48,222,,238.63
2007M8,158.88,151.03,331.48,309.01,240.69,,238.22
2007M9,184.66,160.13,330,347.56,297.95,,264.06
2007M10,197.11,164.11,335.3,358.4,303.63,,271.71
2007M11,187.61,171.11,356.5,389.02,286.5,,278.15
2007M12,198.93,180.28,378,423.08,339.23,,303.9
2008M1,205.61,206.56,393.48,461.72,336.12,,320.7
2008M2,216.54,220.05,481.14,508.22,393.87,,363.96
2008M3,228.66,233.93,672.64,495.69,403.81,,406.95
2008M4,237.24,246.64,1015.21,482.79,326.85,,461.75
2008M5,238.31,243.53,1009.32,489.09,288.42,,453.73
2008M6,240.98,287.13,834.6,552.47,314.16,,445.87
2008M7,248.31,267.14,799,554.15,299.43,,433.61
2008M8,212.32,235.16,737,471.07,304.16,,391.94
2008M9,189.43,233.95,722,433.38,263.05,,368.36
2008M10,144,183.02,624,338.78,202.77,,298.52
2008M11,130.16,164.3,563.25,329.14,194.11,,276.19
2008M12,114.16,158.91,550.75,318.81,188.84,,266.3
2009M1,121.61,173.3,615.25,364.72,211.28,,297.23
2009M2,112.57,163.4,634,341.27,195.22,,289.29
2009M3,114.94,164.58,625.25,333.66,199.1,,287.5
2009M4,111.02,168.8,577.25,374.47,200.89,,286.48
2009M5,129.39,180.07,540.75,422.36,227.19,,299.95
2009M6,148.68,179.39,548.6,445.11,227.31,,309.82
2009M7,139.96,151.8,623,398.09,195.33,,301.63
2009M8,122.3,152.04,576.25,408.96,179.55,,287.82
2009M9,103.53,150.59,593.67,349.05,156.93,,270.75
2009M10,130.55,167.28,566.25,354.86,163.73,,276.53
2009M11,155.26,171.69,566.25,370.71,177.61,,288.3
2009M12,150.77,164.61,606,379.3,171.16,,294.37
2010M1,146.6,167.34,598,358.97,167.82,,287.74
2010M2,137.3,161.91,584.75,344.66,160.16,,277.76
2010M3,147.06,158.93,540.13,348.95,156.46,,270.31
2010M4,151.71,157.27,502.23,357.64,156.83,,265.13
2010M5,142.95,163.24,472.48,349.05,158.33,,257.21
2010M6,145.97,152.87,458.55,348.51,149.21,,251.02
2010M7,156.36,163.92,470.68,370.98,182.74,,268.93
2010M8,161.03,175.6,486.86,379.46,219.88,,284.57
2010M9,168.2,205.84,519.95,390.23,240.43,,304.93
2010M10,174.61,235.7,532.38,427.18,234.6,,320.89
2010M11,179.12,238.24,543.14,459.96,241.84,,332.46
2010M12,189.6,250.63,536.78,483.76,274.46,,347.04
2011M1,195.12,265.29,528.38,511.1,295.99,,359.18
2011M2,196.37,293.4,532.8,512.05,317.6,,370.44
2011M3,202.53,290.43,508.96,498.74,285.38,,357.21
2011M4,208.7,318.94,500.57,501.47,307.25,,367.39
2011M5,208.72,308.58,500.55,498.77,307.19,,364.76
2011M6,210.17,310.54,518.09,499.77,285.3,,364.77
2011M7,215.46,300.83,546.19,501.83,271.46,,367.15
2011M8,206.66,310.31,577.3,501.42,288.69,,376.88
2011M9,210.63,296.3,615.55,490.91,272.34,,377.15
2011M10,208.68,274.85,602.14,446.02,251.59,,356.65
2011M11,211.37,274.28,609.09,428.83,244.54,,353.62
2011M12,212.22,258.52,580.91,420.05,236.06,,341.55
2012M1,210.47,272.92,541.06,441.73,243.7,,341.98
2012M2,213.46,279.51,547.48,461.56,245.98,,349.6
2012M3,222.68,280.72,577.05,496.29,243.49,,364.05
2012M4,237.27,274.22,585.95,529.42,228.09,,370.99
2012M5,236.98,268.88,612.43,520.93,228.88,,373.62
2012M6,228.3,267.33,606.14,522.33,241.97,,373.21
2012M7,239.18,333,578.36,609.45,310.75,,414.15
2012M8,260.63,332.23,582.87,622.91,315.55,,422.84
2012M9,260.2,320.71,590.5,615.18,316.65,,420.65
2012M10,253.43,321.38,584.74,565.53,318.41,,408.7
2012M11,249.68,321.6,590.73,533.03,319.46,,402.9
2012M12,250.69,308.75,565.52,534.79,303.04,,392.56
2013M1,238.81,303.36,573.39,526.05,288.21,,385.96
2013M2,238.28,302.61,574.07,536.38,271.68,,384.6
2013M3,235.11,309.58,564.52,536.08,263.34,,381.73
2013M4,228.17,279.76,553.73,517.79,264.17,,368.72
2013M5,226.89,295.37,552.09,542.2,276.05,,378.52
2013M6,223.63,297.11,546.25,560.16,266.85,,378.8
2013M7,213.46,279.01,538.26,548.35,257.47,,367.31
2013M8,187.16,234.94,509.77,498.05,258.93,,337.77
2013M9,168.81,207.49,470,503.24,257.5,,321.41
2013M10,153.69,201.78,453.26,472.83,278.15,,311.94
2013M11,149.01,199.18,448.81,476.66,259.78,,306.69
2013M12,146.97,197.55,447.55,488.67,246.11,,305.37
2014M1,148.77,198.77,441.04,476.1,229.98,,298.93
2014M2,147.79,209.36,447,496.8,242.8,,308.75
2014M3,145.98,222.39,434.14,522,275.61,,320.03
2014M4,148.67,222.43,409.94,547.19,276.38,,320.92
2014M5,159.63,216.98,403.59,546.03,287.91,,322.83
2014M6,150.75,202.63,414.67,528,261.65,,311.54
2014M7,132.02,182.29,428,463.23,238.55,,288.82
2014M8,118.63,176.48,440.38,432.99,229.16,,279.53
2014M9,115.62,163.13,436.5,368.85,211.17,,259.06
2014M10,104.86,163.38,432.7,354.44,210.72,,253.22
2014M11,107.45,178.71,419,379.34,215.99,,260.1
2014M12,109.84,178.71,410.74,378.78,234.86,,262.59
2015M1,110.18,174.79,409.68,367.49,213.02,,255.03
2015M2,103.88,173.76,409.5,364.74,201.74,,250.72
2015M3,106.07,174.29,400.73,359.6,202.69,,248.68
2015M4,106.21,172.15,392.41,356.93,195.93,,244.72
2015M5,105.82,166.35,382.43,351.95,193.22,,239.95
2015M6,100.64,166.81,370.55,354.82,199.84,,238.53
2015M7,104.87,179.61,387.74,372.35,199.22,,248.76
2015M8,96.18,162.74,375.57,347.02,173.52,,231.01
2015M9,92.5,166.08,358.77,323.55,164.07,,220.99
2015M10,94.55,171.45,360.45,327.42,165.45,,223.87
2015M11,93.76,166.09,358.38,319.08,157.8,,219.02
2015M12,88.67,164,354.35,323.32,163.89,,218.85
2016M1,83.05,161.1,359.48,323.2,164.61,,218.29
2016M2,87.06,159.72,373.19,320.13,159.28,,219.88
2016M3,91.59,159.23,370.48,326.94,164.06,,222.46
2016M4,100.82,164.47,376.05,353.8,163.39,,231.7
2016M5,104.32,169,408.82,388.51,157.56,,245.64
2016M6,114.84,179.91,420.68,421.23,156.7,,258.67
2016M7,107.39,161.82,456.24,390.4,133.71,,249.91
2016M8,98.58,150.22,414.22,370.32,127.9,,232.25
2016M9,95.5,148.51,384,355.9,123.25,,221.43
2016M10,96.7,152.62,367.67,358.39,122.56,,219.59
2016M11,97.88,151.33,360.82,368.37,122.55,,220.19
2016M12,95.99,152.73,367.55,375.29,122.85,,222.88
2017M1,100.06,160.01,372.55,379.59,137.15,,229.87
2017M2,103.9,162.96,368.5,380.87,147.36,,232.72
2017M3,102.57,158.98,367.78,366.1,146.43,,228.37
2017M4,103.35,156.54,374.5,347.86,138.41,,224.13
2017M5,104.45,158.6,402.91,350.18,146.44,,232.52
2017M6,105.87,157.97,444.68,339.73,157.25,,241.1
2017M7,110.81,157.61,419.95,365.45,174.53,,245.67
2017M8,103.24,148.54,405.65,345.41,139.05,,228.38
2017M9,99.28,147.32,413.14,353.86,138.41,,230.4
2017M10,93.78,148.72,407.23,358.28,133.34,,228.27
2017M11,98.27,148.79,404.05,361.41,138.05,,230.11
2017M12,94.33,149.09,407.95,357.15,147.1,,231.12
2018M1,100.25,155.92,422.3,356.87,156.39,,238.35
2018M2,106.77,163.46,417.85,371.23,172.29,,246.32
2018M3,108.99,172.08,409.77,381.89,180.92,,250.73
2018M4,112.21,175.6,432.38,381.27,180.38,,256.37
2018M5,117.17,179.18,433.22,374.85,192.7,,259.42
2018M6,103.49,165.14,413.14,339.96,193.08,,242.96
2018M7,99.01,156.55,378.68,312.56,196.81,,228.72
2018M8,98.87,162.52,383.43,316.66,211.29,,234.56
2018M9,95.43,154.95,383,306.43,191.14,,226.19
2018M10,102.8,160.37,392.04,315.85,188.46,,231.9
2018M11,105.4,160.88,390.82,322.28,181.55,,232.19
2018M12,101.92,167.49,380.33,330.48,188.54,,233.75
2019M1,102.46,166.85,383.74,333.78,188.84,,235.13
2019M2,106.88,169.66,390.55,334.5,177.92,,235.9
2019M3,103.9,166.32,383.14,329.24,164.51,,229.42
2019M4,100.85,161.65,397.41,324.25,159.03,,228.64
2019M5,106.16,171.18,390.3,305.31,158.28,,226.25
2019M6,125.37,195.17,396.25,326.61,174.7,,243.62
2019M7,128.14,189.49,395.96,325.47,163.88,,240.59
2019M8,110.28,163.63,414.68,314.63,149.36,,230.52
2019M9,103.71,157.37,415.43,322.45,146.57,,229.11
2019M10,112.96,167.3,399.13,339.87,153.22,,234.5
2019M11,113.08,166.36,394.57,332.96,157.53,,232.9
2019M12,111.43,167.06,397,334.95,165.25,,235.14
2020M1,115.05,171.81,428.52,337.08,178.24,,246.14
2020M2,110.84,168.74,430.25,325.43,172.23,,241.5
2020M3,101.68,162.18,471.68,319.34,170.87,,245.15
2020M4,97.98,147.01,542.82,309.99,179.75,,255.51
2020M5,98.64,143.99,498.86,309.33,174.95,,245.15
2020M6,101.68,148.04,503.05,318.64,169.72,,248.23
2020M7,102.03,152.59,464.48,328.94,170.57,,243.72
2020M8,102.61,149.39,484.43,332.14,174.18,,248.55
2020M9,102.12,166.6,491.91,366.82,204.14,,266.32
2020M10,102.37,186.77,458.86,387.58,203.43,,267.8
2020M11,108.05,190.63,459.86,419.59,210.75,,277.77
2020M12,112.46,199.18,499.35,443.66,217.31,,294.39
2021M1,125.7,231.75,518.48,504.31,237.94,,323.64
2021M2,137.85,245.55,535.75,507.82,240.81,,333.55
2021M3,138.98,245.76,502.35,519.88,229.89,,327.37
2021M4,154.25,268.62,470.27,537.42,239.94,,334.1
2021M5,195.84,304.3,477.19,576.97,278.45,,366.55
2021M6,187.37,292.52,454.86,537.36,238.77,,342.18
2021M7,180.17,278.45,414.86,523.57,243.63,,328.14
2021M8,169.78,257.02,386.77,504.04,274.88,,318.5
2021M9,175.57,235.82,387,469.44,269.73,,307.51
2021M10,208.66,239.6,388.9,452.02,294.04,,316.64
2021M11,224.36,248.77,383.55,454.58,317.44,,325.74
2021M12,238.51,264.57,383.57,473.81,324.02,,336.9
2022M1,250.92,276.72,397,514.45,326.08,,353.03
2022M2,249.25,292.67,410,583.69,347.5,,376.62
2022M3,256.27,335.93,419.43,617.2,387.67,,403.3
2022M4,262.96,348.51,415.76,618.14,406.03,,410.28
2022M5,257.36,344.91,425.27,617.12,444.16,,417.77
2022M6,259.13,335.72,434.18,621.2,397.65,,409.58
2022M7,240.3,312.68,412.48,571,321.98,,371.69
2022M8,212.4,293.93,411.09,576.82,323.02,,363.45
2022M9,180.59,312.55,426.82,537.55,346.32,,360.77
2022M10,175.43,343.55,416.1,507.54,353.71,,359.27
2022M11,178.62,320.93,416.32,529.75,344.33,,357.99
2022M12,179.31,302.24,444.23,541.83,323.65,,358.25
2023M1,182.43,302.84,480.64,555.51,320.1,,368.3
2023M2,182.17,298.25,484.95,561.29,332.41,,371.81
2023M3,182.89,284.96,453.57,547.23,309.43,,355.61
2023M4,185.83,291.18,479.5,546.87,312.81,,363.24
2023M5,180.37,268.17,491.74,508.35,299.44,,349.61
2023M6,175.48,266.94,492.27,526.3,282.28,,348.65
2023M7,172.93,235.27,512.24,555.11,278.62,,350.83
2023M8,159.44,207.68,607.96,510.15,241.41,,345.33
2023M9,148.2,223.85,606.9,487.15,229.39,,339.1
2023M10,142.12,221.9,574.45,471.93,216.46,,325.37
2023M11,143.3,209.04,555.41,494.35,216,,323.62
2023M12,147.82,207.4,603.24,481.49,229.63,,333.92
2024M1,161.79,198.76,629.09,452.63,226.08,,333.67
2024M2,153.54,188.95,609.52,429.73,219.24,,320.19
2024M3,137.09,190.23,601.71,433.53,211.84,,314.88
2024M4,132.54,190.9,570.14,427.92,208.38,,305.98
2024M5,133.89,201.02,600.52,447.49,227.43,,322.07
2024M6,135.99,191.24,605.5,430.97,205.23,,313.79
2024M7,139.84,177.77,567.04,411.08,183.23,,295.79
2024M8,134.68,169.3,563.77,361.83,175.51,,281.02
2024M9,137.72,183.66,555.1,372.1,188.51,,287.41
2024M10,121.01,189.59,496.61,368.49,197.37,,274.61
2024M11,123.75,201.31,487.43,365.52,185.73,,272.75
2024M12,121.94,202.83,495.68,361.24,185.79,,273.5
2025M1,113.22,214.36,459.78,377.85,190.63,,271.17
2025M2,113.53,221.25,423.5,382.08,190.1,,266.09
2025M3,110.44,207.75,417,369.34,179.61,,256.83
